Lineage,Hemisphere,Category,Count
S-PaN,Left,Dev,0
S-PaN,Right,Dev,0
TRdc,Left,Dev,0
TRdc,Right,Dev,0
TRdl-a/b,Left,Dev,0
TRdl-a/b,Right,Dev,0
TRdl-c,Left,Dev,0
TRdl-c,Right,Dev,0
TRdl-d,Left,Dev,0
TRdl-d,Right,Dev,0
TRdl-e,Left,Dev,0
TRdl-e,Right,Dev,0
TRdm,Left,Dev,0
TRdm,Right,Dev,0
TRmotor,Left,Dev,0
TRmotor,Right,Dev,0
TRvm,Left,Dev,0
TRvm,Right,Dev,0
Unbound,Left,Dev,0
Unbound,Right,Dev,0
BAla1/2,Left,Diff,22
BAla1/2,Right,Diff,22
BAla3/4,Left,Diff,41
BAla3/4,Right,Diff,41
BAlc,Left,Diff,33
BAlc,Right,Diff,32
BAlp1-3,Left,Diff,17
BAlp1-3,Right,Diff,18
BAlp4,Left,Diff,14
BAlp4,Right,Diff,15
BAlv,Left,Diff,12
BAlv,Right,Diff,12
BAmas1/2,Left,Diff,40
BAmas1/2,Right,Diff,39
BAmd1,Left,Diff,15
BAmd1,Right,Diff,15
BAmd2,Left,Diff,24
BAmd2,Right,Diff,24
BAmv1/2,Left,Diff,23
BAmv1/2,Right,Diff,23
BAmv3,Left,Diff,24
BAmv3,Right,Diff,24
BApd,Left,Diff,8
BApd,Right,Diff,8
BApv,Left,Diff,18
BApv,Right,Diff,15
BLAd1-4,Left,Diff,12
BLAd1-4,Right,Diff,12
BLAl,Left,Diff,13
BLAl,Right,Diff,13
BLAv1/2,Left,Diff,42
BLAv1/2,Right,Diff,39
BLAvm,Left,Diff,20
BLAvm,Right,Diff,21
BLD1,Left,Diff,8
BLD1,Right,Diff,8
BLD2-4,Left,Diff,25
BLD2-4,Right,Diff,26
BLD5/6,Left,Diff,3
BLD5/6,Right,Diff,3
BLP1/2,Left,Diff,31
BLP1/2,Right,Diff,33
BLP3/4,Left,Diff,29
BLP3/4,Right,Diff,29
BLVa1/2,Left,Diff,22
BLVa1/2,Right,Diff,23
BLVa3/4,Left,Diff,37
BLVa3/4,Right,Diff,37
BLVp1,Left,Diff,13
BLVp1,Right,Diff,13
BLVp2,Left,Diff,10
BLVp2,Right,Diff,10
BolwigsAxon,Left,Diff,13
BolwigsAxon,Right,Diff,16
CM1/3,Left,Diff,32
CM1/3,Right,Diff,31
CM4,Left,Diff,32
CM4,Right,Diff,32
CM4-CM5*,Left,Diff,5
CM4-CM5*,Right,Diff,5
CP1d,Left,Diff,8
CP1d,Right,Diff,8
CP1v,Left,Diff,23
CP1v,Right,Diff,23
CP2/3d,Left,Diff,19
CP2/3d,Right,Diff,19
CP2/3v,Left,Diff,26
CP2/3v,Right,Diff,27
CP4,Left,Diff,8
CP4,Right,Diff,8
DALcl1/2d,Left,Diff,4
DALcl1/2d,Right,Diff,4
DALcl1/2v,Left,Diff,23
DALcl1/2v,Right,Diff,23
DALcm1/2m,Left,Diff,26
DALcm1/2m,Right,Diff,26
DALcm1/2v,Left,Diff,20
DALcm1/2v,Right,Diff,20
DALd,Left,Diff,15
DALd,Right,Diff,16
DALl1,Left,Diff,9
DALl1,Right,Diff,9
DALv1,Left,Diff,11
DALv1,Right,Diff,11
DALv2/3,Left,Diff,18
DALv2/3,Right,Diff,18
DALv2/3accl,Left,Diff,4
DALv2/3accl,Right,Diff,4
DALv2/3accm,Left,Diff,2
DALv2/3accm,Right,Diff,2
DALv2/3accvl,Left,Diff,4
DALv2/3accvl,Right,Diff,3
